column,missing_count,missing_pct
COMMONAREA_AVG,214865,69.87229725115525
COMMONAREA_MODE,214865,69.87229725115525
COMMONAREA_MEDI,214865,69.87229725115525
NONLIVINGAPARTMENTS_MEDI,213514,69.43296337366793
NONLIVINGAPARTMENTS_MODE,213514,69.43296337366793
NONLIVINGAPARTMENTS_AVG,213514,69.43296337366793
FONDKAPREMONT_MODE,210295,68.38617155158677
LIVINGAPARTMENTS_AVG,210199,68.35495315614726
LIVINGAPARTMENTS_MEDI,210199,68.35495315614726
LIVINGAPARTMENTS_MODE,210199,68.35495315614726
FLOORSMIN_MODE,208642,67.84862980511267
FLOORSMIN_AVG,208642,67.84862980511267
FLOORSMIN_MEDI,208642,67.84862980511267
YEARS_BUILD_AVG,204488,66.49778381911541
YEARS_BUILD_MODE,204488,66.49778381911541
YEARS_BUILD_MEDI,204488,66.49778381911541
OWN_CAR_AGE,202929,65.9908100848425
LANDAREA_MEDI,182590,59.376737742714894
LANDAREA_AVG,182590,59.376737742714894
LANDAREA_MODE,182590,59.376737742714894
BASEMENTAREA_MODE,179943,58.515955526794166
BASEMENTAREA_MEDI,179943,58.515955526794166
BASEMENTAREA_AVG,179943,58.515955526794166
EXT_SOURCE_1,173378,56.38107254699832
NONLIVINGAREA_MODE,169682,55.17916432257708
NONLIVINGAREA_AVG,169682,55.17916432257708
NONLIVINGAREA_MEDI,169682,55.17916432257708
ELEVATORS_AVG,163891,53.29597965601231
ELEVATORS_MEDI,163891,53.29597965601231
ELEVATORS_MODE,163891,53.29597965601231
WALLSMATERIAL_MODE,156341,50.8407829313423
APARTMENTS_AVG,156061,50.749729277977046
APARTMENTS_MEDI,156061,50.749729277977046
APARTMENTS_MODE,156061,50.749729277977046
ENTRANCES_MODE,154828,50.34876801155081
ENTRANCES_MEDI,154828,50.34876801155081
ENTRANCES_AVG,154828,50.34876801155081
LIVINGAREA_AVG,154350,50.193326417591564
LIVINGAREA_MEDI,154350,50.193326417591564
LIVINGAREA_MODE,154350,50.193326417591564
HOUSETYPE_MODE,154297,50.176091261776
FLOORSMAX_MODE,153020,49.76082156410665
FLOORSMAX_AVG,153020,49.76082156410665
FLOORSMAX_MEDI,153020,49.76082156410665
YEARS_BEGINEXPLUATATION_MODE,150007,48.781019215572776
YEARS_BEGINEXPLUATATION_MEDI,150007,48.781019215572776
YEARS_BEGINEXPLUATATION_AVG,150007,48.781019215572776
TOTALAREA_MODE,148431,48.26851722377411
EMERGENCYSTATE_MODE,145755,47.39830445089769
OCCUPATION_TYPE,96391,31.345545362604916
EXT_SOURCE_3,60965,19.825307062186393
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.501630835970095
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.501630835970095
AMT_REQ_CREDIT_BUREAU_MON,41519,13.501630835970095
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.501630835970095
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.501630835970095
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.501630835970095
NAME_TYPE_SUITE,1292,0.42014757195677555
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844
EXT_SOURCE_2,660,0.21462646864665003
AMT_GOODS_PRICE,278,0.09040327012692229
AMT_ANNUITY,12,0.0039022994299390914
CNT_FAM_MEMBERS,2,0.000650383238323182
DAYS_LAST_PHONE_CHANGE,1,0.000325191619161591
HOUR_APPR_PROCESS_START,0,0.0
LIVE_REGION_NOT_WORK_REGION,0,0.0
REG_REGION_NOT_LIVE_REGION,0,0.0
ORGANIZATION_TYPE,0,0.0
NAME_CONTRACT_TYPE,0,0.0
FLAG_OWN_CAR,0,0.0
SK_ID_CURR,0,0.0
AMT_CREDIT,0,0.0
AMT_INCOME_TOTAL,0,0.0
CNT_CHILDREN,0,0.0
NAME_INCOME_TYPE,0,0.0
NAME_FAMILY_STATUS,0,0.0
NAME_HOUSING_TYPE,0,0.0
REGION_POPULATION_RELATIVE,0,0.0
NAME_EDUCATION_TYPE,0,0.0
DAYS_BIRTH,0,0.0
DAYS_EMPLOYED,0,0.0
DAYS_REGISTRATION,0,0.0
DAYS_ID_PUBLISH,0,0.0
FLAG_MOBIL,0,0.0
FLAG_EMP_PHONE,0,0.0
FLAG_WORK_PHONE,0,0.0
FLAG_CONT_MOBILE,0,0.0
CODE_GENDER,0,0.0
TARGET,0,0.0
FLAG_OWN_REALTY,0,0.0
FLAG_EMAIL,0,0.0
REGION_RATING_CLIENT,0,0.0
REGION_RATING_CLIENT_W_CITY,0,0.0
WEEKDAY_APPR_PROCESS_START,0,0.0
FLAG_PHONE,0,0.0
REG_CITY_NOT_LIVE_CITY,0,0.0
REG_CITY_NOT_WORK_CITY,0,0.0
LIVE_CITY_NOT_WORK_CITY,0,0.0
REG_REGION_NOT_WORK_REGION,0,0.0
FLAG_DOCUMENT_4,0,0.0
FLAG_DOCUMENT_5,0,0.0
FLAG_DOCUMENT_2,0,0.0
FLAG_DOCUMENT_3,0,0.0
FLAG_DOCUMENT_11,0,0.0
FLAG_DOCUMENT_10,0,0.0
FLAG_DOCUMENT_9,0,0.0
FLAG_DOCUMENT_8,0,0.0
FLAG_DOCUMENT_7,0,0.0
FLAG_DOCUMENT_6,0,0.0
FLAG_DOCUMENT_12,0,0.0
FLAG_DOCUMENT_13,0,0.0
FLAG_DOCUMENT_19,0,0.0
FLAG_DOCUMENT_18,0,0.0
FLAG_DOCUMENT_17,0,0.0
FLAG_DOCUMENT_16,0,0.0
FLAG_DOCUMENT_15,0,0.0
FLAG_DOCUMENT_14,0,0.0
FLAG_DOCUMENT_20,0,0.0
FLAG_DOCUMENT_21,0,0.0
