column,bin,count,defaults,default_rate
AMT_INCOME_TOTAL,"(105302565.0, 117000000.0]",1,1,1.0
AMT_INCOME_TOTAL,"(11723085.0, 23420520.0]",2,0,0.0
AMT_INCOME_TOTAL,"(23420520.0, 35117955.0]",0,0,
AMT_INCOME_TOTAL,"(25649.999, 11723085.0]",307508,24824,0.08072635508669693
AMT_INCOME_TOTAL,"(35117955.0, 46815390.0]",0,0,
AMT_INCOME_TOTAL,"(46815390.0, 58512825.0]",0,0,
AMT_INCOME_TOTAL,"(58512825.0, 70210260.0]",0,0,
AMT_INCOME_TOTAL,"(70210260.0, 81907695.0]",0,0,
AMT_INCOME_TOTAL,"(81907695.0, 93605130.0]",0,0,
AMT_INCOME_TOTAL,"(93605130.0, 105302565.0]",0,0,
